best_mse,best_ssim,best_step,cfg,config_json,data,diffusion,fails,lpips,model,mse_median,mse_x4,n,per_script,protocol,run,series,skel_iou,source,ssim,ssim_mean,ssim_median,ssim_楷,ssim_行,ssim_隶
2.7286,0.1441,15000,,"{""cfg_model"": """", ""cfg_data_csv"": """", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": """", ""cfg_batch_size"": """", ""cfg_lr"": """", ""cfg_max_steps"": """", ""cfg_eval_csv"": """", ""cfg_eval_cfg"": """"}",,,,,,,,,,,20260823-085301-ctrl-skel-top30-scratch,ctrl_skel,,all_experiments_20260903,,,,,,
0.2304,0.8107,15000,,"{""cfg_model"": """", ""cfg_data_csv"": """", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": """", ""cfg_batch_size"": """", ""cfg_lr"": """", ""cfg_max_steps"": """", ""cfg_eval_csv"": """", ""cfg_eval_cfg"": """"}",,,,,,,,,,,20260825-115527-ctrl-skel-s6-v2,ctrl_skel,,all_experiments_20260903,,,,,,
0.9151,0.5165,15000,,"{""cfg_model"": """", ""cfg_data_csv"": """", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": """", ""cfg_batch_size"": """", ""cfg_lr"": """", ""cfg_max_steps"": """", ""cfg_eval_csv"": """", ""cfg_eval_cfg"": """"}",,,,,,,,,,,20260815-131017-DiT-3Cond-S-2,exp_s_5script,,all_experiments_20260903,,,,,,
,,,,"{""cfg_model"": ""DiT-3Cond-S/2"", ""cfg_data_csv"": ""5script/train.csv"", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""64"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0001"", ""cfg_max_steps"": ""5"", ""cfg_eval_csv"": ""test.csv"", ""cfg_eval_cfg"": ""4.0""}",5script/train.csv,,,,DiT-3Cond-S/2,,,,,,20260815-153545-probe-s2-factorized-ema-canny-skel-b64,probes,,all_experiments_20260903,,,,,,
,,,,"{""cfg_model"": ""DiT-3Cond-S/2"", ""cfg_data_csv"": ""5script/train.csv"", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""64"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0001"", ""cfg_max_steps"": ""5"", ""cfg_eval_csv"": ""test.csv"", ""cfg_eval_cfg"": ""4.0""}",5script/train.csv,,,,DiT-3Cond-S/2,,,,,,20260815-153803-probe-s2-factorized-ema-canny-skel-b64,probes,,all_experiments_20260903,,,,,,
,,,,"{""cfg_model"": ""DiT-3Cond-S/2"", ""cfg_data_csv"": ""5script/train.csv"", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""32"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0001"", ""cfg_max_steps"": ""5"", ""cfg_eval_csv"": ""test.csv"", ""cfg_eval_cfg"": ""4.0""}",5script/train.csv,,,,DiT-3Cond-S/2,,,,,,20260815-153912-probe-s2-factorized-ema-canny-skel-b32,probes,,all_experiments_20260903,,,,,,
,,,,"{""cfg_model"": ""DiT-3Cond-S/2"", ""cfg_data_csv"": ""5script/train.csv"", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""224"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0001"", ""cfg_max_steps"": ""20020"", ""cfg_eval_csv"": ""test.csv"", ""cfg_eval_cfg"": ""4.0""}",5script/train.csv,,,,DiT-3Cond-S/2,,,,,,20260815-174444-s2-factorized-latent-struct-b224-probe-from20k,probes,,all_experiments_20260903,,,,,,
,,,,"{""cfg_model"": ""DiT-2Cond-S/2"", ""cfg_data_csv"": ""5script/train.csv"", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""128"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0001"", ""cfg_max_steps"": ""5"", ""cfg_eval_csv"": ""test.csv"", ""cfg_eval_cfg"": ""4.0""}",5script/train.csv,,,,DiT-2Cond-S/2,,,,,,20260815-195112-probe-v3a-glyph-canny-skel-b128-ss16,probes,,all_experiments_20260903,,,,,,
,,,,"{""cfg_model"": ""DiT-2Cond-S/2"", ""cfg_data_csv"": ""5script/train.csv"", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""8"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0001"", ""cfg_max_steps"": ""5"", ""cfg_eval_csv"": ""test.csv"", ""cfg_eval_cfg"": ""4.0""}",5script/train.csv,,,,DiT-2Cond-S/2,,,,,,20260815-195423-probe-v3a-glyph-canny-skel-b8-full,probes,,all_experiments_20260903,,,,,,
,,,,"{""cfg_model"": ""DiT-2Cond-S/2"", ""cfg_data_csv"": ""5script/train.csv"", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""16"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0001"", ""cfg_max_steps"": ""8"", ""cfg_eval_csv"": ""test.csv"", ""cfg_eval_cfg"": ""4.0""}",5script/train.csv,,,,DiT-2Cond-S/2,,,,,,20260815-213015-probe-v3a-batch-scale,probes,,all_experiments_20260903,,,,,,
1.8818,0.0023,5000,,"{""cfg_model"": """", ""cfg_data_csv"": """", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": """", ""cfg_batch_size"": """", ""cfg_lr"": """", ""cfg_max_steps"": """", ""cfg_eval_csv"": """", ""cfg_eval_cfg"": """"}",,,,,,,,,,,20260822-115020-px-s-scratch-diff,px_s_scratch,,all_experiments_20260903,,,,,,
1.344,0.3035,4000,,"{""cfg_model"": ""DiT-2Cond-B/4"", ""cfg_data_csv"": ""5script/train_top30_clean.csv"", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""96"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0002"", ""cfg_max_steps"": ""600000"", ""cfg_eval_csv"": ""5script/eval500_clean.csv"", ""cfg_eval_cfg"": ""4.0""}",5script/train_top30_clean.csv,,,,DiT-2Cond-B/4,,,,,,20260824-151758-s10-b4-grey-clear,s10_b4_grey_clear,,all_experiments_20260903,,,,,,
1.071,0.4668,65000,,"{""cfg_model"": ""DiT-2Cond-B/4"", ""cfg_data_csv"": ""5script/train_top30_clean.csv"", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""96"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0002"", ""cfg_max_steps"": ""600000"", ""cfg_eval_csv"": ""5script/eval500_clean.csv"", ""cfg_eval_cfg"": ""4.0""}",5script/train_top30_clean.csv,,,,DiT-2Cond-B/4,,,,,,20260824-164822-s10-b4-grey-clear,s10_b4_grey_clear,,all_experiments_20260903,,,,,,
,,,,"{""cfg_model"": ""DiT-2Cond-S/4"", ""cfg_data_csv"": ""5script/train_top6.csv"", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""224"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0002"", ""cfg_max_steps"": ""600000"", ""cfg_eval_csv"": ""5script/eval100_top6.csv"", ""cfg_eval_cfg"": ""4.0""}",5script/train_top6.csv,,,,DiT-2Cond-S/4,,,,,,20260824-224524-s11-top6-p4,s11_top6_p4,,all_experiments_20260903,,,,,,
1.1715,0.337,5000,,"{""cfg_model"": ""DiT-2Cond-S/4"", ""cfg_data_csv"": ""5script/train_top6.csv"", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""224"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0002"", ""cfg_max_steps"": ""600000"", ""cfg_eval_csv"": ""5script/eval100_top6.csv"", ""cfg_eval_cfg"": ""4.0""}",5script/train_top6.csv,,,,DiT-2Cond-S/4,,,,,,20260824-224716-s11-top6-p4,s11_top6_p4,,all_experiments_20260903,,,,,,
0.582,0.619,125000,,"{""cfg_model"": ""DiT-2Cond-S/4"", ""cfg_data_csv"": ""5script/train_top6.csv"", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""224"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0002"", ""cfg_max_steps"": ""600000"", ""cfg_eval_csv"": ""5script/eval100_top6.csv"", ""cfg_eval_cfg"": ""4.0""}",5script/train_top6.csv,,,,DiT-2Cond-S/4,,,,,,20260824-231810-s11-top6-p4,s11_top6_p4,,all_experiments_20260903,,,,,,
0.5476,0.6455,145000,,"{""cfg_model"": ""DiT-2Cond-S/4"", ""cfg_data_csv"": ""5script/train_top6.csv"", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""224"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0002"", ""cfg_max_steps"": ""600000"", ""cfg_eval_csv"": ""5script/eval100_top6.csv"", ""cfg_eval_cfg"": ""4.0""}",5script/train_top6.csv,,,,DiT-2Cond-S/4,,,,,,20260825-093159-s11-top6-p4,s11_top6_p4,,all_experiments_20260903,,,,,,
1.6321,0.0453,1000,,"{""cfg_model"": ""DiT-2Cond-S/2"", ""cfg_data_csv"": ""5script/train_3top30_nobeike.csv"", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""176"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0002"", ""cfg_max_steps"": ""600000"", ""cfg_eval_csv"": ""5script/eval100_3top30.csv"", ""cfg_eval_cfg"": ""4.0""}",5script/train_3top30_nobeike.csv,,,,DiT-2Cond-S/2,,,,,,20260825-174750-s12-3top30-dino,s12_3top30_dino,,all_experiments_20260903,,,,,,
,,,,"{""cfg_model"": ""DiT-2Cond-S/2"", ""cfg_data_csv"": ""5script/train_3top30_nobeike.csv"", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""224"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0002"", ""cfg_max_steps"": ""600000"", ""cfg_eval_csv"": ""5script/eval100_3top30.csv"", ""cfg_eval_cfg"": ""4.0""}",5script/train_3top30_nobeike.csv,,,,DiT-2Cond-S/2,,,,,,20260825-175939-s12-3top30-dino,s12_3top30_dino,,all_experiments_20260903,,,,,,
0.9226,0.4888,80000,,"{""cfg_model"": ""DiT-2Cond-S/2"", ""cfg_data_csv"": ""5script/train_3top30_nobeike.csv"", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""224"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0002"", ""cfg_max_steps"": ""600000"", ""cfg_eval_csv"": ""5script/eval100_3top30.csv"", ""cfg_eval_cfg"": ""4.0""}",5script/train_3top30_nobeike.csv,,,,DiT-2Cond-S/2,,,,,,20260825-180335-s12-3top30-dino,s12_3top30_dino,,all_experiments_20260903,,,,,,
,,,,"{""cfg_model"": ""DiT-2Cond-XS/2"", ""cfg_data_csv"": ""5script/train_3top30_nobeike.csv"", ""cfg_diffusion_type"": ""ddpm"", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""224"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0002"", ""cfg_max_steps"": ""200000"", ""cfg_eval_csv"": ""5script/eval500_3top30.csv"", ""cfg_eval_cfg"": ""4.0""}",5script/train_3top30_nobeike.csv,ddpm,,,DiT-2Cond-XS/2,,,,,,20260826-095711-s13-3top30-dino-xs,s13_3top30_dino_xs,,all_experiments_20260903,,,,,,
,,,,"{""cfg_model"": ""DiT-2Cond-XS/2"", ""cfg_data_csv"": ""5script/train_3top30_nobeike.csv"", ""cfg_diffusion_type"": ""ddpm"", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""224"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0002"", ""cfg_max_steps"": ""200000"", ""cfg_eval_csv"": ""5script/eval500_3top30.csv"", ""cfg_eval_cfg"": ""4.0""}",5script/train_3top30_nobeike.csv,ddpm,,,DiT-2Cond-XS/2,,,,,,20260826-101935-s13-3top30-dino-xs,s13_3top30_dino_xs,,all_experiments_20260903,,,,,,
,,,,"{""cfg_model"": ""DiT-2Cond-XS/2"", ""cfg_data_csv"": ""5script/train_3top30_nobeike.csv"", ""cfg_diffusion_type"": ""ddpm"", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""320"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0002"", ""cfg_max_steps"": ""200000"", ""cfg_eval_csv"": ""5script/eval500_3top30.csv"", ""cfg_eval_cfg"": ""4.0""}",5script/train_3top30_nobeike.csv,ddpm,,,DiT-2Cond-XS/2,,,,,,20260826-102132-s13-3top30-dino-xs,s13_3top30_dino_xs,,all_experiments_20260903,,,,,,
1.0947,0.3355,2000,,"{""cfg_model"": ""DiT-2Cond-XS/2"", ""cfg_data_csv"": ""5script/train_3top30_nobeike.csv"", ""cfg_diffusion_type"": ""ddpm"", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""320"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0002"", ""cfg_max_steps"": ""200000"", ""cfg_eval_csv"": ""5script/eval500_3top30.csv"", ""cfg_eval_cfg"": ""4.0""}",5script/train_3top30_nobeike.csv,ddpm,,,DiT-2Cond-XS/2,,,,,,20260826-103832-s13-3top30-dino-xs,s13_3top30_dino_xs,,all_experiments_20260903,,,,,,
1.2264,0.2414,1000,,"{""cfg_model"": ""DiT-2Cond-XS/2"", ""cfg_data_csv"": ""5script/train_3top30_nobeike.csv"", ""cfg_diffusion_type"": ""ddpm"", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""320"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0002"", ""cfg_max_steps"": ""1000"", ""cfg_eval_csv"": ""5script/eval500_3top30.csv"", ""cfg_eval_cfg"": ""4.0""}",5script/train_3top30_nobeike.csv,ddpm,,,DiT-2Cond-XS/2,,,,,,20260826-115802-s14-xs-ddpm-aug-test,s14_xs_ddpm_orig,,all_experiments_20260903,,,,,,
0.7479,0.5409,160000,,"{""cfg_model"": ""DiT-2Cond-WS/2"", ""cfg_data_csv"": ""5script/train_3top30_nobeike.csv"", ""cfg_diffusion_type"": ""flow"", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""160"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0002"", ""cfg_max_steps"": ""200000"", ""cfg_eval_csv"": ""5script/eval500_3top30.csv"", ""cfg_eval_cfg"": ""4.0""}",5script/train_3top30_nobeike.csv,flow,,,DiT-2Cond-WS/2,,,,,,20260826-133102-s15-ws-flow,s15_ws_flow,,all_experiments_20260903,,,,,,
0.7762,0.5344,100000,,"{""cfg_model"": ""DiT-2Cond-S/2"", ""cfg_data_csv"": ""5script/train_3top30_nobeike.csv"", ""cfg_diffusion_type"": ""flow"", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""240"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0002"", ""cfg_max_steps"": ""200000"", ""cfg_eval_csv"": ""5script/eval500_3top30.csv"", ""cfg_eval_cfg"": ""4.0""}",5script/train_3top30_nobeike.csv,flow,,,DiT-2Cond-S/2,,,,,,20260827-070924-s17-s-flow,s17_s_flow,,all_experiments_20260903,,,,,,
0.727,0.5455,35000,,"{""cfg_model"": ""DiT-2Cond-S/2"", ""cfg_data_csv"": ""5script/train_top6.csv"", ""cfg_diffusion_type"": ""flow"", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""240"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0002"", ""cfg_max_steps"": ""200000"", ""cfg_eval_csv"": ""5script/eval_strict_top6.csv"", ""cfg_eval_cfg"": ""4.0""}",5script/train_top6.csv,flow,,,DiT-2Cond-S/2,,,,,,20260827-232003-s18-s-flow-small,s18_s_flow_small,,all_experiments_20260903,,,,,,
0.7949,0.5222,50000,,"{""cfg_model"": ""DiT-2Cond-S/2"", ""cfg_data_csv"": ""5script/train_mid_clean.csv"", ""cfg_diffusion_type"": ""flow"", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""240"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0002"", ""cfg_max_steps"": ""300000"", ""cfg_eval_csv"": ""5script/eval_strict_top6.csv"", ""cfg_eval_cfg"": ""1.7""}",5script/train_mid_clean.csv,flow,,,DiT-2Cond-S/2,,,,,,20260828-143711-s19-midclean-s-flow,s19_midclean_s_flow,,all_experiments_20260903,,,,,,
,,,,"{""cfg_model"": ""DiT-2Cond-S/2"", ""cfg_data_csv"": ""5script/train_mid_common.csv"", ""cfg_diffusion_type"": ""flow"", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""240"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0002"", ""cfg_max_steps"": ""120000"", ""cfg_eval_csv"": ""5script/eval_strict_midclean.csv"", ""cfg_eval_cfg"": ""1.7""}",5script/train_mid_common.csv,flow,,,DiT-2Cond-S/2,,,,,,20260829-021733-s20-midcommon-s-flow-v2,s20_midcommon_s_flow_v2,,all_experiments_20260903,,,,,,
0.8155,0.5294,102500,,"{""cfg_model"": ""DiT-2Cond-S/2"", ""cfg_data_csv"": ""5script/train_mid_common.csv"", ""cfg_diffusion_type"": ""flow"", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""128"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.00015"", ""cfg_max_steps"": ""150000"", ""cfg_eval_csv"": ""5script/eval_strict_midclean.csv"", ""cfg_eval_cfg"": ""1.7""}",5script/train_mid_common.csv,flow,,,DiT-2Cond-S/2,,,,,,20260829-023132-s20-midcommon-s-flow-v2,s20_midcommon_s_flow_v2,,all_experiments_20260903,,,,,,
,,,,"{""cfg_model"": ""DiT-2Cond-S/2"", ""cfg_data_csv"": ""5script/train_fame.csv"", ""cfg_diffusion_type"": ""flow"", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""128"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.00015"", ""cfg_max_steps"": ""150000"", ""cfg_eval_csv"": ""5script/eval_fame_strict.csv"", ""cfg_eval_cfg"": ""0.7""}",5script/train_fame.csv,flow,,,DiT-2Cond-S/2,,,,,,20260829-231425-s21-fame-flow-v2,s21_fame_flow_v2,,all_experiments_20260903,,,,,,
,,,,"{""cfg_model"": ""DiT-2Cond-S/2"", ""cfg_data_csv"": ""5script/train_fame.csv"", ""cfg_diffusion_type"": ""flow"", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""128"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.00015"", ""cfg_max_steps"": ""150000"", ""cfg_eval_csv"": ""5script/eval_fame_strict.csv"", ""cfg_eval_cfg"": ""0.7""}",5script/train_fame.csv,flow,,,DiT-2Cond-S/2,,,,,,20260829-231728-s21-fame-flow-v2,s21_fame_flow_v2,,all_experiments_20260903,,,,,,
1.0338,0.467,30000,,"{""cfg_model"": ""DiT-2Cond-S/2"", ""cfg_data_csv"": ""5script/train_fame.csv"", ""cfg_diffusion_type"": ""flow"", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""192"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.00015"", ""cfg_max_steps"": ""150000"", ""cfg_eval_csv"": ""5script/eval_fame_strict.csv"", ""cfg_eval_cfg"": ""0.7""}",5script/train_fame.csv,flow,,,DiT-2Cond-S/2,,,,,,20260829-232329-s21-fame-flow-v2,s21_fame_flow_v2,,all_experiments_20260903,,,,,,
1.0389,0.4622,30000,,"{""cfg_model"": ""DiT-2Cond-S/2"", ""cfg_data_csv"": ""5script/train_fame.csv"", ""cfg_diffusion_type"": ""flow"", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""192"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0005"", ""cfg_max_steps"": ""47500"", ""cfg_eval_csv"": ""5script/eval_fame_strict.csv"", ""cfg_eval_cfg"": ""0.7""}",5script/train_fame.csv,flow,,,DiT-2Cond-S/2,,,,,,20260830-181142-s22-char-embed-only,s22_char_embed_only,,all_experiments_20260903,,,,,,
