base_ssim,best_mse,best_ssim,best_step,cfg,config_json,data,delta_ssim,diffusion,fails,lpips,model,mse,mse_median,mse_x4,n,per_script,protocol,run,series,skel_iou,source,ssim,ssim_mean,ssim_median,ssim_楷,ssim_行,ssim_隶,step
,,,,,"{""cfg_model"": ""DiT-3Cond-S/2"", ""cfg_data_csv"": ""assets/train.csv"", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""224"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0001"", ""cfg_max_steps"": ""5"", ""cfg_eval_csv"": ""assets/eval_strata/clean_unseen_triple_100.csv"", ""cfg_eval_cfg"": ""4.0""}",assets/train.csv,,,,,DiT-3Cond-S/2,,,,,,,20260815-153954-probe-s2-factorized-balanced-ema-no-struct-b224,compositional,,all_experiments_20260903,,,,,,,
,,,,,"{""cfg_model"": ""DiT-3Cond-S/2"", ""cfg_data_csv"": ""assets/train.csv"", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""224"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0001"", ""cfg_max_steps"": ""5"", ""cfg_eval_csv"": ""assets/eval_strata/clean_unseen_triple_100.csv"", ""cfg_eval_cfg"": ""4.0""}",assets/train.csv,,,,,DiT-3Cond-S/2,,,,,,,20260815-154036-probe-s2-factorized-balanced-ema-no-struct-b224-mem,compositional,,all_experiments_20260903,,,,,,,
,3.2228,0.032,2,,"{""cfg_model"": ""DiT-3Cond-S/2"", ""cfg_data_csv"": ""assets/train.csv"", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""224"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0001"", ""cfg_max_steps"": ""2"", ""cfg_eval_csv"": ""assets/eval_strata/clean_unseen_triple_100.csv"", ""cfg_eval_cfg"": ""4.0""}",assets/train.csv,,,,,DiT-3Cond-S/2,,,,,,,20260815-154357-smoke-s2-factorized-ema-save-eval,compositional,,all_experiments_20260903,,,,,,,
,3.2513,0.0302,2000,,"{""cfg_model"": ""DiT-3Cond-S/2"", ""cfg_data_csv"": ""assets/train.csv"", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""224"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0001"", ""cfg_max_steps"": ""20000"", ""cfg_eval_csv"": ""assets/eval_strata/clean_unseen_triple_100.csv"", ""cfg_eval_cfg"": ""4.0""}",assets/train.csv,,,,,DiT-3Cond-S/2,,,,,,,20260815-154610-s2-factorized-add-balanced-ema-no-struct-v1,compositional,,all_experiments_20260903,,,,,,,
,1.0087,0.4578,18000,,"{""cfg_model"": ""DiT-3Cond-S/2"", ""cfg_data_csv"": ""assets/train.csv"", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""224"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0001"", ""cfg_max_steps"": ""20000"", ""cfg_eval_csv"": ""assets/eval_strata/clean_unseen_triple_100.csv"", ""cfg_eval_cfg"": ""4.0""}",assets/train.csv,,,,,DiT-3Cond-S/2,,,,,,,20260815-155912-s2-factorized-add-balanced-ema-no-struct-v1,compositional,,all_experiments_20260903,,,,,,,
,1.0043,0.4545,21000,,"{""cfg_model"": ""DiT-3Cond-S/2"", ""cfg_data_csv"": ""assets/train.csv"", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""224"", ""cfg_batch_size"": """", ""cfg_lr"": ""1e-05"", ""cfg_max_steps"": ""24000"", ""cfg_eval_csv"": ""assets/eval_strata/clean_unseen_triple_100.csv"", ""cfg_eval_cfg"": ""4.0""}",assets/train.csv,,,,,DiT-3Cond-S/2,,,,,,,20260815-174722-s2-factorized-latent-canny-skel-probe-ft-from20k-v2,compositional,,all_experiments_20260903,,,,,,,
,0.2487,0.8079,25000,,"{""cfg_model"": """", ""cfg_data_csv"": """", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": """", ""cfg_batch_size"": """", ""cfg_lr"": """", ""cfg_max_steps"": """", ""cfg_eval_csv"": """", ""cfg_eval_cfg"": """"}",,,,,,,,,,,,,20260822-195603-ctrl-skel-3px,ctrl_skel,,all_experiments_20260903,,,,,,,
,0.2594,0.8008,10000,,"{""cfg_model"": """", ""cfg_data_csv"": """", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": """", ""cfg_batch_size"": """", ""cfg_lr"": """", ""cfg_max_steps"": """", ""cfg_eval_csv"": """", ""cfg_eval_cfg"": """"}",,,,,,,,,,,,,20260822-215523-ctrl-skel-3px,ctrl_skel,,all_experiments_20260903,,,,,,,
,0.2659,0.7974,5000,,"{""cfg_model"": """", ""cfg_data_csv"": """", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": """", ""cfg_batch_size"": """", ""cfg_lr"": """", ""cfg_max_steps"": """", ""cfg_eval_csv"": """", ""cfg_eval_cfg"": """"}",,,,,,,,,,,,,20260822-225755-ctrl-skel-3px,ctrl_skel,,all_experiments_20260903,,,,,,,
,0.2675,0.7717,90000,,"{""cfg_model"": """", ""cfg_data_csv"": """", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": """", ""cfg_batch_size"": """", ""cfg_lr"": """", ""cfg_max_steps"": """", ""cfg_eval_csv"": """", ""cfg_eval_cfg"": """"}",,,,,,,,,,,,,20260822-235734-ctrl-skel-3px,ctrl_skel,,all_experiments_20260903,,,,,,,
,2.7286,0.1441,15000,,"{""cfg_model"": """", ""cfg_data_csv"": """", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": """", ""cfg_batch_size"": """", ""cfg_lr"": """", ""cfg_max_steps"": """", ""cfg_eval_csv"": """", ""cfg_eval_cfg"": """"}",,,,,,,,,,,,,20260823-085301-ctrl-skel-top30-scratch,ctrl_skel,,all_experiments_20260903,,,,,,,
,0.2304,0.8107,15000,,"{""cfg_model"": """", ""cfg_data_csv"": """", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": """", ""cfg_batch_size"": """", ""cfg_lr"": """", ""cfg_max_steps"": """", ""cfg_eval_csv"": """", ""cfg_eval_cfg"": """"}",,,,,,,,,,,,,20260825-115527-ctrl-skel-s6-v2,ctrl_skel,,all_experiments_20260903,,,,,,,
